 2023-04-14 15:04:44,243 - 'x'
 2023-04-14 15:04:44,339 - 'y'
 2023-04-14 15:04:44,387 - 'c'
 2023-04-14 15:04:45,827 - Key.ctrl_l
 2023-04-14 15:04:46,331 - Key.ctrl_l
 2023-04-14 15:04:46,347 - '\x1a'
 2023-04-14 15:05:14,091 - Key.esc
 2023-04-14 15:05:16,643 - Key.enter
 2023-04-14 15:05:16,979 - 'p'
 2023-04-14 15:05:17,155 - 'r'
 2023-04-14 15:05:17,387 - 'i'
 2023-04-14 15:05:18,123 - Key.tab
 2023-04-14 15:05:19,739 - 's'
 2023-04-14 15:05:19,955 - 't'
 2023-04-14 15:05:20,083 - 'r'
 2023-04-14 15:05:20,699 - Key.tab
 2023-04-14 15:05:21,451 - Key.shift
 2023-04-14 15:05:21,954 - Key.shift
 2023-04-14 15:05:21,985 - Key.shift
 2023-04-14 15:05:22,031 - Key.shift
 2023-04-14 15:05:22,059 - '('
 2023-04-14 15:05:23,139 - 'k'
 2023-04-14 15:05:23,243 - 'e'
 2023-04-14 15:05:23,931 - Key.tab
 2023-04-14 15:05:39,867 - 't'
 2023-04-14 15:05:40,035 - 'e'
 2023-04-14 15:05:40,331 - 's'
 2023-04-14 15:05:40,491 - 't'
 2023-04-14 15:06:31,811 - Key.tab
 2023-04-14 15:07:09,755 - 'c'
 2023-04-14 15:07:09,915 - 'm'
 2023-04-14 15:07:10,099 - 'd'
 2023-04-14 15:07:10,219 - Key.enter
 2023-04-14 15:07:13,986 - 'l'
 2023-04-14 15:07:14,219 - 'i'
 2023-04-14 15:07:14,339 - 's'
 2023-04-14 15:07:14,507 - 't'
 2023-04-14 15:07:14,683 - Key.space
 2023-04-14 15:07:15,019 - 'p'
 2023-04-14 15:07:15,275 - 'r'
 2023-04-14 15:07:15,467 - 'o'
 2023-04-14 15:07:17,403 - 'c'
 2023-04-14 15:07:17,651 - 'e'
 2023-04-14 15:07:17,771 - 's'
 2023-04-14 15:07:17,955 - 's'
 2023-04-14 15:07:18,155 - 'e'
 2023-04-14 15:07:18,363 - 's'
 2023-04-14 15:07:18,539 - Key.enter
 2023-04-14 15:07:26,490 - Key.space
 2023-04-14 15:07:28,771 - 'c'
 2023-04-14 15:07:28,931 - 'm'
 2023-04-14 15:07:29,203 - 'd'
 2023-04-14 15:07:29,403 - Key.enter
 2023-04-14 15:07:41,403 - 't'
 2023-04-14 15:07:41,539 - 'a'
 2023-04-14 15:07:41,739 - 's'
 2023-04-14 15:07:42,035 - 'k'
 2023-04-14 15:07:42,275 - 'l'
 2023-04-14 15:07:42,507 - 'i'
 2023-04-14 15:07:42,659 - 's'
 2023-04-14 15:07:42,787 - 't'
 2023-04-14 15:07:43,419 - Key.enter
 2023-04-14 15:08:53,979 - 'l'
 2023-04-14 15:08:54,187 - 'o'
 2023-04-14 15:08:54,459 - 'g'
 2023-04-14 15:08:54,603 - Key.space
 2023-04-14 15:08:54,827 - 'm'
 2023-04-14 15:08:55,059 - 'o'
 2023-04-14 15:08:55,339 - 'u'
 2023-04-14 15:08:55,475 - 's'
 2023-04-14 15:08:55,667 - 'e'
 2023-04-14 15:08:55,794 - Key.space
 2023-04-14 15:08:55,971 - 'e'
 2023-04-14 15:08:56,203 - 'v'
 2023-04-14 15:08:56,363 - 'e'
 2023-04-14 15:08:56,523 - 'n'
 2023-04-14 15:08:56,835 - 't'
 2023-04-14 15:08:57,139 - 's'
 2023-04-14 15:08:57,267 - Key.enter
 2023-04-14 15:08:59,650 - Key.space
 2023-04-14 15:09:02,027 - 'p'
 2023-04-14 15:09:02,202 - 'y'
 2023-04-14 15:09:02,715 - 't'
 2023-04-14 15:09:38,810 - Key.ctrl_l
 2023-04-14 15:09:39,202 - '\x03'
 2023-04-14 15:09:42,554 - Key.ctrl_l
 2023-04-14 15:09:43,060 - Key.ctrl_l
 2023-04-14 15:09:43,091 - Key.ctrl_l
 2023-04-14 15:09:43,098 - '\x03'
 2023-04-14 15:09:45,730 - Key.enter
 2023-04-14 15:09:45,963 - Key.enter
 2023-04-14 15:09:46,323 - Key.up
 2023-04-14 15:09:47,091 - Key.ctrl_l
 2023-04-14 15:09:47,171 - '\x16'
 2023-04-14 15:09:59,570 - Key.ctrl_l
 2023-04-14 15:10:00,474 - Key.ctrl_l
 2023-04-14 15:10:00,981 - Key.ctrl_l
 2023-04-14 15:10:01,003 - '\x03'
 2023-04-14 15:10:11,794 - Key.ctrl_l
 2023-04-14 15:10:12,308 - Key.ctrl_l
 2023-04-14 15:10:12,339 - Key.ctrl_l
 2023-04-14 15:10:12,370 - Key.ctrl_l
 2023-04-14 15:10:12,401 - Key.ctrl_l
 2023-04-14 15:10:12,432 - Key.ctrl_l
 2023-04-14 15:10:12,463 - Key.ctrl_l
 2023-04-14 15:10:12,494 - Key.ctrl_l
 2023-04-14 15:10:12,525 - Key.ctrl_l
 2023-04-14 15:10:12,573 - Key.ctrl_l
 2023-04-14 15:10:12,604 - Key.ctrl_l
 2023-04-14 15:10:12,635 - Key.ctrl_l
 2023-04-14 15:10:12,666 - Key.ctrl_l
 2023-04-14 15:10:12,697 - Key.ctrl_l
 2023-04-14 15:10:12,728 - Key.ctrl_l
 2023-04-14 15:10:12,759 - Key.ctrl_l
 2023-04-14 15:10:12,790 - Key.ctrl_l
 2023-04-14 15:10:12,837 - Key.ctrl_l
 2023-04-14 15:10:12,868 - Key.ctrl_l
 2023-04-14 15:10:12,899 - Key.ctrl_l
 2023-04-14 15:10:12,930 - Key.ctrl_l
 2023-04-14 15:10:12,961 - Key.ctrl_l
